NN,DF-hat,DF-peskin4pt,DFC-hat,DFC-peskin4pt,MDF5-hat,MDF5-peskin4pt
801,1.604569,1.626345,1.612657,1.620207,1.602159,
1601,1.584082,1.599358,1.592365,1.593510,1.579292,1.586786
