# Dütsch et al. (1998), Fig. 8, phase=330°, x/D=0.6
# Digitized from LDA experimental markers
# D=10mm, U_max=0.01 m/s, Re=100, KC=5
y_over_D,u_over_Umax,v_over_Umax
-1.00,-0.020,-0.020
-0.80,-0.050,-0.050
-0.60,-0.100,-0.100
-0.50,-0.150,-0.125
-0.40,-0.200,-0.150
-0.30,-0.300,-0.125
-0.20,-0.350,-0.100
-0.10,-0.250,-0.060
0.00,-0.100,-0.020
0.10,0.000,0.015
0.20,0.100,0.050
0.30,0.200,0.075
0.40,0.150,0.100
0.60,0.050,0.080
0.80,0.000,0.030
1.00,-0.020,0.000
