# Dütsch et al. (1998), Fig. 8, phase=330°, x/D=1.2
# Digitized from LDA experimental markers
# D=10mm, U_max=0.01 m/s, Re=100, KC=5
y_over_D,u_over_Umax,v_over_Umax
-1.00,-0.020,0.000
-0.80,-0.080,-0.020
-0.60,-0.150,-0.050
-0.50,-0.200,-0.085
-0.40,-0.300,-0.120
-0.30,-0.400,-0.135
-0.20,-0.500,-0.150
-0.10,-0.400,-0.100
0.00,-0.250,-0.050
0.10,-0.100,0.000
0.20,0.100,0.050
0.30,0.350,0.065
0.40,0.500,0.080
0.50,0.400,0.065
0.60,0.250,0.050
0.70,0.800,0.025
0.80,0.600,0.000
1.00,0.050,-0.020
