# Dütsch et al. (1998), Fig. 8, phase=210°, x/D=0.6
# Digitized from LDA experimental markers
# D=10mm, U_max=0.01 m/s, Re=100, KC=5
y_over_D,u_over_Umax,v_over_Umax
-1.00,-0.250,-0.080
-0.80,-0.300,-0.150
-0.60,-0.200,-0.200
-0.40,-0.050,-0.250
-0.20,0.150,-0.150
0.00,0.300,-0.050
0.20,0.350,0.100
0.40,0.100,0.150
0.50,-0.100,0.115
0.60,-0.200,0.080
0.80,-0.100,0.030
1.00,-0.050,0.000
