# Dütsch et al. (1998), Fig. 8, phase=330°, x/D=0.0
# Digitized from LDA experimental markers
# D=10mm, U_max=0.01 m/s, Re=100, KC=5
y_over_D,u_over_Umax,v_over_Umax
-1.00,-0.020,0.020
-0.80,-0.050,0.050
-0.60,-0.100,0.080
-0.40,-0.100,0.050
-0.30,-0.100,0.025
-0.20,-0.080,0.000
0.00,-0.050,-0.050
0.20,0.000,-0.080
0.30,0.050,-0.090
0.40,0.050,-0.100
0.60,0.020,-0.080
0.80,0.000,-0.050
1.00,-0.020,-0.020
