# Dütsch et al. (1998), Fig. 8, phase=210°, x/D=0.0
# Digitized from LDA experimental markers
# D=10mm, U_max=0.01 m/s, Re=100, KC=5
y_over_D,u_over_Umax,v_over_Umax
-1.00,-0.400,-0.100
-0.80,-0.450,-0.150
-0.60,-0.400,-0.200
-0.50,-0.300,-0.225
-0.40,-0.150,-0.250
-0.20,0.100,-0.100
0.00,0.200,0.050
0.20,0.100,0.150
0.40,-0.150,0.200
0.50,-0.250,0.160
0.60,-0.300,0.120
0.80,-0.200,0.050
1.00,-0.150,0.020
